case_id,cine_id,gt_path,pred_path,dice
OL-079,OL-079-015,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-079-015/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-079/OL-079-015/micro_seg_net_prostate_mask.png,0.7606
OL-079,OL-079-016,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-079-016/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-079/OL-079-016/micro_seg_net_prostate_mask.png,0.4991
OL-084,OL-084-009,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-084-009/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-084/OL-084-009/micro_seg_net_prostate_mask.png,0.8887
OL-085,OL-085-008,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-085-008/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-085/OL-085-008/micro_seg_net_prostate_mask.png,0.5417
OL-091,OL-091-019,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-091-019/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-091/OL-091-019/micro_seg_net_prostate_mask.png,0.8124
OL-091,OL-091-021,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-091-021/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-091/OL-091-021/micro_seg_net_prostate_mask.png,0.8248
OL-093,OL-093-012,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-093-012/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-093/OL-093-012/micro_seg_net_prostate_mask.png,0.6201
OL-093,OL-093-020,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-093-020/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-093/OL-093-020/micro_seg_net_prostate_mask.png,0.5696
OL-093,OL-093-021,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-093-021/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-093/OL-093-021/micro_seg_net_prostate_mask.png,0.8802
OL-095,OL-095-006,/home/obed/projects/aip-medilab/shared/Guo-Obed-prostatemasks-2026Jun8/OL/OL-095-006/mask.png,/datasets/exactvu_pca/OPTIMUM/UA_OL_PU_annotated_needles_multiframe/OL-095/OL-095-006/micro_seg_net_prostate_mask.png,0.7878
